Experimental,Comparison,,,,,,,,,,
35,2,,,,Anova: Single Factor,,,,,,
40,27,,,,,,,,,,
12,38,,,,SUMMARY,,,,,,
15,31,,,,Groups,Count,Sum,Average,Variance,,
21,1,,,,Column 1,20,543,27.15,156.45,,
14,19,,,,Column 2,20,239,11.95,213.5236842,,
46,1,,,,,,,,,,
10,34,,,,,,,,,,
28,3,,,,ANOVA,,,,,,
48,1,,,,Source of Variation,SS,df,MS,F,P-value,F crit
16,2,,,,Between Groups,2310.4,1,2310.4,12.48953695,0.001094149,4.098171731
30,3,,,,Within Groups,7029.5,38,184.9868421,,,
32,2,,,,,,,,,,
48,1,,,,Total,9339.9,39,,,,
31,2,,,,,,,,,,
22,1,,,,,,,,,,
12,3,,,,,,,,,,
39,29,,,,,,,,,,
19,37,,,,,,,,,,
25,2,,,,,,,,,,
27.15,11.95,Mean,,,,,,,,,
12.51,14.61,Sd,,,,,,,,,
